client_id,ticket_id,ticket_sent_to,ticket_type,fit_for_forum,fit_for_self_help,tier_level,contains_sensitive_data,ticket_text,has_media,ticket_source,ticket_created_at,first_reply_time_secs,response_id,response_text,response_source,response_created_at
2799513076,1570448849420062720,MTN,Problem Ticket,FALSE,FALSE,TIER-1,FALSE,"@mtnug Do you mind talking to me on your toll free?
Well, its u who decided to reset my pin without my knowledge, and when I entered a new pin, still you are claiming its incorrect, I hate this nonsense, kindly fix it now!😡",FALSE,Twitter for Android,9/15/22 16:25,85.99999999,"1570449208791924740
","@DakaDan4 Hello, sorry about that. Please send us your phone number and a picture of the national ID for support. Rgds,#MTNUGCARE&gt;Ronald.",Khoros CX,9/15/22 16:27 
1420469223885877249,1570444566196625411,MTN,Service Request,FALSE,FALSE,TIER-1,FALSE,@mtnug  am still waiting for my mtn Momo interest which u promised me.,FALSE,Twitter for Android,9/15/22 16:08,333.0000005,"1570445962488827905
","@brian_maate Hello, this will come through please hang in there. Rgds,#MTNUGCARE&gt;Ronald.",Khoros CX,9/15/22 16:14 
1414927101019447296,1570439118726877184,MTN,Incident Ticket,FALSE,FALSE,TIER-1,FALSE,@mtnug MTN you're the best tele company thanks for the ghost data,FALSE,Twitter for Android,9/15/22 15:47,622.9999998,"1570441730369130501
","@TumusiimeDeri10 Hello Derick, Kindly DM your number so we can assist you. #MTNUGcare&gt;MTNJackie. https://t.co/qdfCXbswu4",Khoros CX,9/15/22 15:57 
705492021,1570407702681235457,MTN,Change Request Ticket,TRUE,FALSE,TIER-1,FALSE,@mtnug please let momo app work on otp comfirmation instead of your network related access only because it doesn't reach some areas of the world.,FALSE,Twitter for Android,9/15/22 13:42,487.0000001,"1570409745713975298
","@J_Mayanja Hello, thank you for reaching out. You have challenges with the OTP of the Momo app? Rgds,#MTNUGCARE&gt;Ronald.",Khoros CX,9/15/22 13:50 
1516452854717988869,1570425240567644164,MTN,Incident Ticket,FALSE,FALSE,TIER-1,FALSE,Kyoka abafeere 😂😂💀 please @mtnug help us 😂 from such cases https://t.co/D9BVj3djbN,TRUE,Twitter for iPhone,9/15/22 14:52,613.9999996,"1570427819380842496
","@AmAppleOfficia1 @EstherBirungi4 @AsylumTommy @fridahmareawiny @RagiishDoktarii @IamApass @Atuhairecarol10 @JohnBlaqMusic @Njjerumedia @jurakhidmula2 @ISAACOS05943612 Good evening @AmAppleOfficia1, thank you for reporting this. Kindly DM us your number as well and we investigate this further. #mtnugcare&gt;Anita",Khoros CX,9/15/22 15:02 
3133693339,1570425736326156291,MTN,Service Request,FALSE,FALSE,TIER-1,FALSE,Dear @mtnug when can I expect my interest payment. Thanks. 🙏,FALSE,Twitter for Android,9/15/22 14:54,135.0000001,"1570426302783713280
","@twomo88 Hello, this will come through anytime from now. Rgds,#MTNUGCARE&gt;Ronald.",Khoros CX,9/15/22 14:56 
2525083855,1570417980885835776,MTN,Change Request Ticket,TRUE,FALSE,TIER-1,FALSE,"@mtnug You have received UGX 192 from MTN MoMo INTEREST PAYOUT, 256776841177 on 2022-09-15 00:44:19. What are these bu small monies for banange? Muli baloggo?? Koz honestly 192 for what??😂😂😂😂😂",FALSE,Twitter Web App,9/15/22 14:23,173.9999998,"1570418713106567169
","@iamdern880419 Hello Durne, we are now paying out interest on Mobile Money balances. Interest was calculated based on each customer’s daily average mobile money balance for three months from April 2022 to June 2022.  Regards, #mtnugcare&gt;Anita",Khoros CX,9/15/22 14:26 
973723266404814850,1570407433511800835,MTN,Service Request,FALSE,TRUE,TIER-0,FALSE,"When u reach a cash out max for the day via mobile money, when is it renewed? @mtnug",FALSE,Twitter for Android,9/15/22 13:41,364.0000002,"1570408958585864193
","@MamaKidongo Hello, thanks for the inquiry. It's renewed at Midnight. Rgds,#MTNUGCARE&gt;Ronald.",Khoros CX,9/15/22 13:47 
966755689673777153,1570404588817104897,MTN,Incident Ticket,FALSE,FALSE,TIER-2,FALSE,"Pliz @mtnug I need my money back
  Today I was sending money to my friend the money was deducted and the receiver have not received it wy?",FALSE,Twitter for Android,9/15/22 13:30,407.0000002,"1570406297631338504
","@fredabaho2 Hello, sorry to hear that. DM us the sender number, amount sent, recipient's number and we check on this transaction. Rgds,#MTNUGCARE&gt;Ronald.",Khoros CX,9/15/22 13:36 
1042134935962886149,1570403102590750724,MTN,Incident Ticket,TRUE,FALSE,TIER-1,FALSE,Data runs like water https://t.co/woxst81bmW,FALSE,Twitter for iPhone,9/15/22 13:24,657.9999998,"1570405861486632963
","@KakyeAnn Hello, it's unfortunate about that experience. Please share with us your number and phone type for checks and support. Rgds,#MTNUGCARE&gt;Ronald.",Khoros CX,9/15/22 13:35 
